ID,mobile number,email,skills,experience,designation,degree
1,,,data analysis management,data stakeholders management identifying sources quality,data,
2,,,data analysis microsoft management,data reports systems management,data analyst,
3,,,r data analysis microsoft,data,data analyst,
4,,,data analysis microsoft excel statistics management,data patterns systems management quality sets trends,data analyst,statistics
5,1234567890,,data learning statistics management research,data stakeholders creating systems management developing information,data analyst,information statistics
6,,,data analysis microsoft excel statistics,data reports creating developing information,data analyst,information statistics
7,,,r data analysis microsoft excel statistics management,data reports systems management identifying developing,data analyst,statistics
8,,,r data analysis microsoft excel management research,data patterns systems management sources information trends,data analyst,information
9,,,r data analysis microsoft excel statistics,data reports stakeholders developing quality,data analyst,statistics
10,,,data analysis,data reports stakeholders developing quality trends,data analyst,b
11,,,data analysis microsoft,data reports identifying developing quality,data analyst,
12,,,r data analysis learning microsoft statistics,data systems sources,data analyst,statistics
